date,ticker,weight_change,price,tc_cost
2023-08-18,PFE,0.0026,31.26476287841797,0.0
2023-08-25,AMZN,-0.0166,133.25999450683594,3e-06
2023-08-25,NVDA,-0.0174,45.98206329345703,3e-06
2023-08-25,TSLA,-0.0172,238.58999633789062,3e-06
2023-08-25,BRK-B,-0.0174,355.92999267578125,3e-06
2023-08-25,UNH,-0.0172,462.99151611328125,3e-06
2023-08-25,MA,-0.0174,396.4302978515625,3e-06
2023-08-25,MRK,-0.0172,101.20677185058594,3e-06
2023-08-25,PFE,-0.0172,31.025981903076172,3e-06
2023-09-01,AMZN,0.0008,138.1199951171875,0.0
2023-09-01,NVDA,0.0008,48.47111129760742,0.0
2023-09-01,TSLA,0.0008,245.00999450683594,0.0
2023-09-01,BRK-B,0.0008,362.4599914550781,0.0
2023-09-01,UNH,0.0008,450.7995910644531,0.0
2023-09-01,MA,0.0008,408.90692138671875,0.0
2023-09-01,MRK,0.0008,100.86698913574219,0.0
2023-09-01,PFE,0.0008,30.514280319213867,0.0
2023-09-08,AMZN,0.0053,138.22999572753906,0.0
2023-09-08,NVDA,0.0055,45.54015350341797,0.0
2023-09-08,TSLA,0.0054,248.5,0.0
2023-09-08,BRK-B,0.0055,363.1499938964844,0.0
2023-09-08,UNH,0.0054,456.8591613769531,0.0
2023-09-08,MA,0.0055,408.1886901855469,0.0
2023-09-08,MRK,0.0054,100.14152526855469,0.0
2023-09-08,PFE,0.0054,29.209449768066406,0.0
2023-09-15,AMZN,0.0011,140.38999938964844,0.0
2023-09-15,NVDA,0.0011,43.86932373046875,0.0
2023-09-15,TSLA,0.0011,274.3900146484375,0.0
2023-09-15,BRK-B,0.0011,367.8599853515625,0.0
2023-09-15,UNH,0.0011,462.4942932128906,0.0
2023-09-15,MA,0.0011,407.6671142578125,0.0
2023-09-15,MRK,0.0011,99.40961456298828,0.0
2023-09-15,PFE,0.0011,29.055938720703125,0.0
2023-09-22,AMZN,0.0073,129.1199951171875,1e-06
2023-09-22,NVDA,0.0077,41.580928802490234,1e-06
2023-09-22,TSLA,0.0076,244.8800048828125,1e-06
2023-09-22,BRK-B,0.0077,360.1600036621094,1e-06
2023-09-22,UNH,0.0076,480.9294738769531,1e-06
2023-09-22,MA,0.0077,395.77099609375,1e-06
2023-09-22,MRK,0.0076,98.31863403320312,1e-06
2023-09-22,PFE,0.0076,27.8790340423584,1e-06
2023-09-29,AMZN,0.0112,127.12000274658203,1e-06
2023-09-29,NVDA,0.0117,43.46860122680664,1e-06
2023-09-29,TSLA,0.0116,250.22000122070312,1e-06
2023-09-29,BRK-B,0.0117,350.29998779296875,1e-06
2023-09-29,UNH,0.0116,479.11444091796875,1e-06
2023-09-29,MA,0.0117,389.56219482421875,1e-06
2023-09-29,MRK,0.0116,95.1843490600586,1e-06
2023-09-29,PFE,0.0116,28.28839111328125,1e-06
