date,nav,daily_ret,drawdown,max_dd,var_95,cvar_95,realised_vol,gross_exp,net_exp,halt
2022-03-07,955195.120624461,-0.012192653558399108,-0.05460831699951528,-0.05550360525297247,0.010217669569067755,0.011932055760493845,0.09833590094696468,0.0,0.0,False
2022-03-08,953651.0561938285,-0.0016164911202887714,-0.056136534260280334,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.09951178550970362,0.0,0.0,False
2022-03-09,965290.9546233469,0.012205615831827665,-0.044616099399764,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.09443486926915347,0.0,0.0,False
2022-03-10,966349.1314279926,0.0010962257540874144,-0.043568782962885584,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.10547881101310733,0.0,0.0,False
2022-03-11,963295.0448381463,-0.0031207553467250395,-0.04659152459845468,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.105111064280701,0.0,0.0,False
2022-03-14,962436.0518397342,-0.0008917236759548267,-0.0474417015088262,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.10340104269669537,0.0,0.0,False
2022-03-15,971361.2009732923,0.00927349834464048,-0.03860815370459469,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.10115348896622652,0.0,0.0,False
2022-03-16,979552.5196644925,0.008432824661920362,-0.030500904833385693,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.10219444484591265,0.0,0.0,False
2022-03-17,986129.4615196333,0.006714230960677416,-0.023991463992269334,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.10628017053481227,0.0,0.0,False
2022-03-18,991955.427954025,0.005930943170531512,-0.018225291098805288,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.10347623365741801,0.0,0.0,False
2022-03-21,993324.2613683287,0.0013799343959709338,-0.016870506408898284,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.10533166980090357,0.0,0.0,False
2022-03-22,996537.3476961019,0.003234680207394878,-0.013690396894673097,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.0971956224603535,0.0,0.0,False
2022-03-23,993408.2909381513,-0.0031399292411715897,-0.016787339258311863,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.09548888231587431,0.0,0.0,False
2022-03-24,1000771.5659943245,0.007412133684952071,-0.00949963557615717,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.09418819939311551,0.0,0.0,False
2022-03-25,1001454.4477469391,0.0007457397461272534,-0.008823762432068442,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.08814596791822452,0.0,0.0,False
2022-03-28,1007852.0619032496,0.006388322674789284,-0.0024918087989008,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.08776220957233664,0.0,0.0,False
2022-03-29,1010204.7876065443,0.0023343958823200664,-0.00016322978478041302,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.08581605490778564,0.0,0.0,False
2022-03-30,1008365.1687753925,-0.0018210355501386334,-0.0019839680876782176,-0.056136534260280334,0.010613039501255162,0.012399352308897825,0.08551343458701059,0.0,0.0,False
